author,price,rating,title
Giuseppe Bonaccorso,0,25,"Machine Learning: Digital Finance, Strategic Business Math, Statistics, Python, Algorithms, Applications, Theory, Design Patterns, Engineering, Excel, Math & Mathematics."
Abdulhamit Subasi,25,114,Mathematics for Machine Technology
Hui Jiang,170,7,Machine Learning for Planetary Science
Jerry Ramonyai,44,7,Mastering Azure Machine Learning: Perform large-scale end-to-end advanced machine learning in the cloud with Microsoft Azure Machine Learning
John C. Peterson,39,97,Grokking Deep Learning
 and ,10,3,Machine Learning Guide For Novice: Machine learning focuses on applications that learn from experience and improve their decision-making or predictive accuracy over time.
Robert D. Smith,0,7,"Python Machine Learning: Discover the Essentials of Machine Learning, Data Analysis, Data Science, Data Mining, and Artificial Intelligence Using Python Code with Python Tricks"
Joern Helbert,49,176,Machine Learning with Amazon SageMaker Cookbook: 80 proven recipes for data scientists and developers to perform machine learning experiments and deployments
", ",55,6,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & TensorFlow"
Mario D'Amore,13,1,"Machine Learning, revised and updated edition (The MIT Press Essential Knowledge series)"
", et al.",40,14,Practical Machine Learning with Python: A Problem-Solver's Guide to Building Real-World Intelligent Systems
Christoph Korner,0,61,Brain Candy TV - Educational Videos for Kids
 and ,0,16,Machine Learning for Beginners: A Comprehensive Guide to Understand Machine Learning. How It Works and How Is Correlated to Artificial Intelligence and Deep Learning.
Kaijisse Waaijer,99,26,Responsible AI: Implementing Ethical and Unbiased Algorithms
Andrew Trask,39,"6,297",Hands-On Gradient Boosting with XGBoost and scikit-learn: Perform accessible machine learning and extreme gradient boosting with Python
Florence J. Martin,49,1,"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools"
Joshua Arvin Lat,0,15,"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python"
Anirudh Koul,59,20,Python Machine Learning Project
", ",112,25,Machine Learning Engineering in Action
Siddha Ganju,80,22,Statistical Learning for Big Dependent Data (Wiley Series in Probability and Statistics)
", et al.",14,3,"Learning with Kernels: Support Vector Machines, Regularization, Optimization, and Beyond (Adaptive Computation and Machine Learning series)"
Dipanjan Sarkar,89,"1,189",Invisible Women: Data Bias in a World Designed for Men
", ",51,507,Data-Driven Computational Neuroscience: Machine Learning and Statistical Models
Raghav Bali,19,9,Blueprints for Text Analytics Using Python: Machine Learning-Based Solutions for Common Real World (NLP) Applications
", et al.",0,147,Hands-On Machine Learning with ML.NET: Getting started with Microsoft ML.NET to implement popular machine learning algorithms in C#
Chris Neil,49,3,Real-World Machine Learning
", ",131,197,Machine Learning: A Quantitative Approach
Timothy Burke,46,20,Machine Learning Methods for Stylometry: Authorship Attribution and Author Profiling
", et al.",14,89,Machine Learning: Architecture in the Age of Artificial Intelligence
Sray Agarwal,39,45,Introduction to Machine Learning
 and ,14,20,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems"
Qingquan Song,43,20,Statistical Learning with Sparsity (Chapman & Hall/CRC Monographs on Statistics and Applied Probability)
", ",49,30,Automated Machine Learning in Action
Haifeng Jin,49,5,A First Course in Machine Learning (Chapman & Hall/CRC Machine Learning & Pattern Recognition)
", et al.",80,3,Machine Learning: a Concise Introduction (Wiley Series in Probability and Statistics)
Simon Rogers,2,1,Machine Learning
 and ,9,1,Analyzing Financial Data and Implementing Financial Models Using R (Springer Texts in Business and Economics)
Mark Girolami,0,6,Hands-on Supervised Learning with Python: Learn How to Solve Machine Learning Problems with Supervised Learning Algorithms Using Python
Amit Dua,39,7,Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications (Addison-Wesley Data & Analytics Series)
 and ,33,5,"Machine Learning: A Comprehensive Journey from Beginner to Advanced Level to Understand Why You Must Keep pace with Innovation, Artificial Intelligence and Big Data with Practical Examples"
Umair Ayub,49,86,Hands-On Ensemble Learning with Python: Build highly optimized ensemble machine learning models using scikit-learn and Keras
Gnana Lakshmi T C,51,8,"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn"
 and ,27,15,Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam
Madeleine Shang,53,6,Machine Learning and Big Data with kdb+/q (Wiley Finance)
Joseph Mining,95,17,"Machine Learning Automation with TPOT: Build, validate, and deploy fully automated machine learning models with Python"
 and ,36,2,"Machine Learning in the Oil and Gas Industry: Including Geosciences, Reservoir Engineering, and Production Engineering with Python"
Adam Hebert,0,11,Fundamentals of Pattern Recognition and Machine Learning
George Kyriakides,33,1,Practical MLOps: Operationalizing Machine Learning Models
 and ,26,71,Multi-Agent Machine Learning: A Reinforcement Approach
Konstantinos G. Margaritis,77,506,Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data
Stephen Klosterman,29,66,Super Wings
Andreas Botsikas,34,5,Learn Quantum Computing with Python and IBM Quantum Experience: A hands-on introduction to quantum computing and writing your own quantum programs with Python
 and ,44,6,Introduction to Machine Learning in the Cloud with Python: Concepts and Practices
Michael Hlobil,9,28,"Algorithmic Trading Methods: Applications Using Advanced Statistics, Optimization, and Machine Learning Techniques"
Jan Novotny,3,37,Implement NLP use-cases using BERT: Explore the Implementation of NLP Tasks Using the Deep Learning Framework and Python (English Edition)
", ",0,1,Genetic Algorithms and Machine Learning for Programmers: Create AI Models and Evolve Solutions (Pragmatic Programmers)
Paul A. Bilokon,83,129,"Learn Amazon SageMaker: A guide to building, training, and deploying machine learning models for developers and data scientists"
", et al.",0,15,AWS Certified Machine Learning Specialty : +260 Exam Practice Questions with detail explanations and reference links - First Edition - 2021
Dario Radečić,82,193,Machine Learning with Python: A Practical Beginners’ Guide (Machine Learning From Scratch Book 2)
Yogendra Narayan Pandey,46,155,"Python for Beginners: Learn Python with This Crash Course for Data Analysis, Machine Learning and Database Programming"
", ",39,40,"Aprende Machine Learning con Scikit-Learn, Keras y TensorFlow: Conceptos, herramientas y técnicas para construir sistemas inteligentes"
Ayush Rastogi,39,26,Machine Learning: The New AI (The MIT Press Essential Knowledge series)
